ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
45,Social Sciences,4511,Sociology,451101,Sociology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,38,sociology-6,"Kings County, NY",05000US36047,kings-county-ny
54,History,5401,History,540101,General History,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,56,general-history,"Kings County, NY",05000US36047,kings-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30103,Environmental Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,environmental-studies,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5218,"General Sales, Merchandising, & Marketing Operations",521801,"General Sales, Distribution, & Marketing Operations",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,25,general-sales-distribution-marketing-operations,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5214,Marketing,521401,General Marketing & Marketing Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,general-marketing-marketing-management,"Kings County, NY",05000US36047,kings-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30104,Environmental Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,8,environmental-science,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5210,Human Resource Management & Services,521001,General Human Resources Management & Personnel Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,general-human-resources-management-personnel-administration,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5209,Hospitality Management,520901,General Hospitality Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,156,general-hospitality-management,"Kings County, NY",05000US36047,kings-county-ny
4,Architecture and Related Services,402,Architecture,40201,Architecture,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,119,architecture-6,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5208,Financial Management Services,520801,General Finance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,general-finance,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5207,Entrepreneurial & Small Business Operations,520701,Entrepreneurial Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,entrepreneurial-studies,"Kings County, NY",05000US36047,kings-county-ny
4,Architecture and Related Services,409,Architectural Sciences & Technology,40901,Architectural Technology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,77,architectural-technology,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5206,Managerial Economics,520601,Business & Managerial Economics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,business-managerial-economics,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5203,Accounting,520301,Accounting,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,352,accounting-6,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5202,"Business Administration, Management, & Operations",520201,General Business Administration & Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,678,general-business-administration-management,"Kings County, NY",05000US36047,kings-county-ny
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,2,american-us-studies,"Kings County, NY",05000US36047,kings-county-ny
5,Cultural & Gender Studies,501,Area Studies,50119,Caribbean Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,caribbean-studies,"Kings County, NY",05000US36047,kings-county-ny
