ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
54,History,5401,History,540104,History & Philosophy of Science & Technology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,9,history-philosophy-of-science-technology,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4599,Other Social Sciences,459999,Other Social Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,103,other-social-sciences-6,"New York County, NY",05000US36061,new-york-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30103,Environmental Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,41,environmental-studies,"New York County, NY",05000US36061,new-york-county-ny
50,Visual & Performing Arts,5001,General Visual & Performaing Arts,500101,General Visual & Performing Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,general-visual-performing-arts,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4513,Sociology & Anthropology,451301,Sociology & Anthropology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,7,sociology-anthropology-6,"New York County, NY",05000US36061,new-york-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30104,Environmental Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,26,environmental-science,"New York County, NY",05000US36061,new-york-county-ny
54,History,5401,History,540101,General History,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,350,general-history,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4512,Urban Affairs,451201,Urban Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,119,urban-studies,"New York County, NY",05000US36061,new-york-county-ny
4,Architecture and Related Services,402,Architecture,40201,Architecture,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,100,architecture-6,"New York County, NY",05000US36061,new-york-county-ny
50,Visual & Performing Arts,5003,Dance,500301,General Dance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,123,general-dance,"New York County, NY",05000US36061,new-york-county-ny
4,Architecture and Related Services,403,Urban Planning,40301,"Urban, Community, & Regional Planning",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,urban-community-regional-planning,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4511,Sociology,451101,Sociology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,462,sociology-6,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4510,Political Science & Government,451001,General Political Science & Government,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,914,general-political-science-government,"New York County, NY",05000US36061,new-york-county-ny
4,Architecture and Related Services,406,Landscape Architecture,40601,Landscape Architecture,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,landscape-architecture-6,"New York County, NY",05000US36061,new-york-county-ny
52,Business,5299,"Other Business, Management, Marketing, & Related Services",529999,"Other Business, Management, Marketing, & Related Support Services",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,94,other-business-management-marketing-related-support-services,"New York County, NY",05000US36061,new-york-county-ny
50,Visual & Performing Arts,5003,Dance,500302,Ballet,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,12,ballet,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4509,International Relations & National Security Studies,450901,International Relations & Affairs,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,91,international-relations-affairs,"New York County, NY",05000US36061,new-york-county-ny
4,Architecture and Related Services,408,Architectural History & Criticism,40801,General Architectural History & Criticism,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,general-architectural-history-criticism,"New York County, NY",05000US36061,new-york-county-ny
52,Business,5219,"Specialized Sales, Merchandising, & Marketing Operations",521999,"Other Specialized Merchandising, Sales, & Marketing Operations",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,37,other-specialized-merchandising-sales-marketing-operations,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4507,Geography & Cartography,450701,Geography,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,15,geography,"New York County, NY",05000US36061,new-york-county-ny
50,Visual & Performing Arts,5003,Dance,500399,Other Dance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,20,other-dance,"New York County, NY",05000US36061,new-york-county-ny
4,Architecture and Related Services,499,Other Architecture Studies,49999,Other Architecture & Related Services,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,26,other-architecture-related-services,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4506,Economics,450699,Other Economics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,5,other-economics,"New York County, NY",05000US36061,new-york-county-ny
5,Cultural & Gender Studies,501,Area Studies,50101,African Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,10,african-studies,"New York County, NY",05000US36061,new-york-county-ny
52,Business,5219,"Specialized Sales, Merchandising, & Marketing Operations",521909,Special Products Marketing Operations,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,special-products-marketing-operations,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4506,Economics,450604,Developmental Economics & International Development,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,developmental-economics-international-development,"New York County, NY",05000US36061,new-york-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500401,General Design & Visual Communications,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,41,general-design-visual-communications,"New York County, NY",05000US36061,new-york-county-ny
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,42,american-us-studies,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4506,Economics,450603,Econometrics & Quantitative Economics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,480,econometrics-quantitative-economics,"New York County, NY",05000US36061,new-york-county-ny
5,Cultural & Gender Studies,501,Area Studies,50103,Asian Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,19,asian-studies,"New York County, NY",05000US36061,new-york-county-ny
52,Business,5219,"Specialized Sales, Merchandising, & Marketing Operations",521902,Fashion Merchandising,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,757,fashion-merchandising,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4506,Economics,450601,General Economics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,787,general-economics,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4504,Crminology,450401,Criminology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,249,criminology,"New York County, NY",05000US36061,new-york-county-ny
5,Cultural & Gender Studies,501,Area Studies,50104,East Asian Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,41,east-asian-studies,"New York County, NY",05000US36061,new-york-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500402,Commercial & Advertising Art,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,60,commercial-advertising-art,"New York County, NY",05000US36061,new-york-county-ny
5,Cultural & Gender Studies,501,Area Studies,50106,European Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,european-studies,"New York County, NY",05000US36061,new-york-county-ny
52,Business,5218,"General Sales, Merchandising, & Marketing Operations",521801,"General Sales, Distribution, & Marketing Operations",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,372,general-sales-distribution-marketing-operations,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4503,Archeology,450301,Archeology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,11,archeology-6,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4502,Anthropology,450204,Cultural Anthropology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,2,cultural-anthropology,"New York County, NY",05000US36061,new-york-county-ny
5,Cultural & Gender Studies,501,Area Studies,50107,Latin American Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,14,latin-american-studies,"New York County, NY",05000US36061,new-york-county-ny
45,Social Sciences,4502,Anthropology,450201,Anthropology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,154,anthropology-6,"New York County, NY",05000US36061,new-york-county-ny
