ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
13,Education,1313,Teacher Education for Specific Subject Areas,131302,Art Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,art-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
54,History,5401,History,540101,General History,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,97,general-history,"Bronx County, NY",05000US36005,bronx-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30103,Environmental Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,21,environmental-studies,"Bronx County, NY",05000US36005,bronx-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30104,Environmental Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,2,environmental-science,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5218,"General Sales, Merchandising, & Marketing Operations",521801,"General Sales, Distribution, & Marketing Operations",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,34,general-sales-distribution-marketing-operations,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5214,Marketing,521401,General Marketing & Marketing Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,52,general-marketing-marketing-management,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,9,american-us-studies,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5213,Management Sciences & Quantitative Methods,521302,Business Statistics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,5,business-statistics,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5211,International Business,521101,"International Business, Trade, & Commerce",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,2,international-business-trade-commerce,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5209,Hospitality Management,520901,General Hospitality Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,129,general-hospitality-management,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,501,Area Studies,50107,Latin American Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,latin-american-studies,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5208,Financial Management Services,520801,General Finance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,202,general-finance,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5203,Accounting,520304,Accounting & Finance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,51,accounting-finance,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,501,Area Studies,50108,Near & Middle Eastern Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,16,near-middle-eastern-studies,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5203,Accounting,520301,Accounting,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,394,accounting-6,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5202,"Business Administration, Management, & Operations",520213,Organizational Leadership,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,30,organizational-leadership,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,501,Area Studies,50114,Western European Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,15,western-european-studies,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,501,Area Studies,50126,Italian Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,italian-studies,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5202,"Business Administration, Management, & Operations",520201,General Business Administration & Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,654,general-business-administration-management,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5201,General Business & Commerce,520101,General Business,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,30,general-business,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,501,Area Studies,50134,Latin American & Caribbean Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,13,latin-american-caribbean-studies,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5138,"Registered Nursing, Nursing Administration, & Nursing Research",513801,Registered Nursing,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,357,registered-nursing,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5131,Dietetics & Clinical Nutrition Services,513101,Dietetics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,91,dietetics,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50201,African-American & Black Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,14,african-american-black-studies,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5123,Rehabilitation & Therapeutic Professions,512309,Therapeutic Recreation Therapy,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,33,therapeutic-recreation-therapy,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5122,Public Health,512211,Health Services Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,174,health-services-administration,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50203,"Hispanic-American, Puerto Rican, & Mexican-American Studies",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,hispanic-american-puerto-rican-mexican-american-studies,"Bronx County, NY",05000US36005,bronx-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50207,Women's Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,8,womens-studies,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5122,Public Health,512207,Public Health Education & Promotion,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,30,public-health-education-promotion,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5122,Public Health,512201,General Public Health,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,98,general-public-health,"Bronx County, NY",05000US36005,bronx-county-ny
9,Communications,901,Communication and Media Studies,90100,General Communication,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,65,general-communication,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5109,"Allied Diagnostic, Intervention, & Treatment Professions",510907,Radiation Therapist,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,10,radiation-therapist,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5109,"Allied Diagnostic, Intervention, & Treatment Professions",510905,Nuclear Medical Technologist,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,nuclear-medical-technologist,"Bronx County, NY",05000US36005,bronx-county-ny
9,Communications,901,Communication and Media Studies,90101,Speech Communication & Rhetoric,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,287,speech-communication-rhetoric,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5108,Allied Health & Medical Assisting Services,510899,Other Allied Health & Medical Assisting Services,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,14,other-allied-health-medical-assisting-services,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5107,Health & Medical Administrative Services,510702,Hospital & Health Care Facilities Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,154,hospital-health-care-facilities-management,"Bronx County, NY",05000US36005,bronx-county-ny
9,Communications,901,Communication and Media Studies,90102,Mass Communication & Media Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,50,mass-communication-media-studies,"Bronx County, NY",05000US36005,bronx-county-ny
9,Communications,904,Journalism,90401,Journalism,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,14,journalism-6,"Bronx County, NY",05000US36005,bronx-county-ny
51,Health,5102,Communication Disorders Sciences & Services,510204,Audiology & Speech-Language Pathology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,98,audiology-speech-language-pathology,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5009,Music,500903,General Music Performance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,general-music-performance,"Bronx County, NY",05000US36005,bronx-county-ny
9,Communications,904,Journalism,90499,Other Journalism,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,other-journalism,"Bronx County, NY",05000US36005,bronx-county-ny
9,Communications,907,"Radio, Television, & Digital Communication",90702,Digital Communication & Multimedia,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,digital-communication-multimedia,"Bronx County, NY",05000US36005,bronx-county-ny
9,Communications,999,Other Communication Studies,99999,"Other Communication, Journalism, & Related Programs",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,other-communication-journalism-related-programs,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5009,Music,500901,General Music,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,17,general-music,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500799,Other Fine Arts & Art Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,34,other-fine-arts-art-studies,"Bronx County, NY",05000US36005,bronx-county-ny
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110101,General Computer & Information Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,144,general-computer-information-sciences-6,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500703,"Art History, Criticism, & Conservation",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,19,art-history-criticism-conservation,"Bronx County, NY",05000US36005,bronx-county-ny
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110103,Information Technology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,52,information-technology,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500702,General Fine Studio Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,5,general-fine-studio-arts,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500701,General Art Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,16,general-art-studies,"Bronx County, NY",05000US36005,bronx-county-ny
11,Computer and Information Sciences and Support Services,1104,Information Sciences,110401,Information Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,74,information-science,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5006,Video & Photographic Arts,500601,"Film, Cinema, & Video Studies",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,film-cinema-video-studies,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5005,Theater Arts & Stagecraft,500501,General Drama & Theater Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,32,general-drama-theater-arts,"Bronx County, NY",05000US36005,bronx-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500409,Graphic Design,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,graphic-design,"Bronx County, NY",05000US36005,bronx-county-ny
11,Computer and Information Sciences and Support Services,1107,Computer Science,110701,Computer Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,80,computer-science-6,"Bronx County, NY",05000US36005,bronx-county-ny
