ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
15,Engineering Technologies,1503,Electrical Engineering Technologies,150399,Other Electrical Engineering Technology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,11,other-electrical-engineering-technology,"Queens County, NY",05000US36081,queens-county-ny
54,History,5401,History,540101,General History,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,106,general-history,"Queens County, NY",05000US36081,queens-county-ny
45,Social Sciences,4501,General Social Sciences,450101,General Social Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,general-social-sciences-6,"Queens County, NY",05000US36081,queens-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30103,Environmental Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,33,environmental-studies,"Queens County, NY",05000US36081,queens-county-ny
45,Social Sciences,4506,Economics,450601,General Economics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,293,general-economics,"Queens County, NY",05000US36081,queens-county-ny
44,Public Administration and Social Service,4407,Social Work,440701,Social Work,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,117,social-work-6,"Queens County, NY",05000US36081,queens-county-ny
44,Public Administration and Social Service,4404,Public Administration,440401,Public Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,public-administration-6,"Queens County, NY",05000US36081,queens-county-ny
45,Social Sciences,4510,Political Science & Government,451001,General Political Science & Government,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,186,general-political-science-government,"Queens County, NY",05000US36081,queens-county-ny
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30104,Environmental Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,12,environmental-science,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,501,Area Studies,50101,African Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,african-studies,"Queens County, NY",05000US36081,queens-county-ny
52,Business,5217,Insurance,521701,Insurance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,48,insurance-6,"Queens County, NY",05000US36081,queens-county-ny
43,Protective Services,4301,Criminal Justice & Corrections,430112,Securities Services Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,49,securities-services-management,"Queens County, NY",05000US36081,queens-county-ny
45,Social Sciences,4511,Sociology,451101,Sociology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,270,sociology-6,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,american-us-studies,"Queens County, NY",05000US36081,queens-county-ny
43,Protective Services,4301,Criminal Justice & Corrections,430103,Criminal Justice - Law Enforcement Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,99,criminal-justice-law-enforcement-administration,"Queens County, NY",05000US36081,queens-county-ny
42,Psychology,4201,General Psychology,420101,General Psychology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,969,general-psychology-6,"Queens County, NY",05000US36081,queens-county-ny
45,Social Sciences,4512,Urban Affairs,451201,Urban Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,40,urban-studies,"Queens County, NY",05000US36081,queens-county-ny
40,Physical Sciences,4008,Physics,400801,General Physics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,20,general-physics,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,501,Area Studies,50103,Asian Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,asian-studies,"Queens County, NY",05000US36081,queens-county-ny
52,Business,5214,Marketing,521401,General Marketing & Marketing Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,86,general-marketing-marketing-management,"Queens County, NY",05000US36081,queens-county-ny
45,Social Sciences,4599,Other Social Sciences,459999,Other Social Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,other-social-sciences-6,"Queens County, NY",05000US36081,queens-county-ny
40,Physical Sciences,4006,Geological & Earth Sciences,400601,General Geology & Earch Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,10,general-geology-earch-science,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,501,Area Studies,50104,East Asian Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,east-asian-studies,"Queens County, NY",05000US36081,queens-county-ny
40,Physical Sciences,4005,Chemistry,400501,General Chemistry,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,25,general-chemistry,"Queens County, NY",05000US36081,queens-county-ny
47,Mechanical Technologies,4706,Vehicle Maintenance & Repair Technologies,470607,Airframe Mechanics & Aircraft Maintenance Technology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,7,airframe-mechanics-aircraft-maintenance-technology,"Queens County, NY",05000US36081,queens-county-ny
40,Physical Sciences,4001,Physical Sciences,400101,Physical Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,physical-sciences-6,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,501,Area Studies,50107,Latin American Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,latin-american-studies,"Queens County, NY",05000US36081,queens-county-ny
39,Theology,3906,Theological & Ministerial Studies,390606,Talmudic Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,34,talmudic-studies,"Queens County, NY",05000US36081,queens-county-ny
49,Transportation,4901,Air Transportation,490104,Airway Management & Operations,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,77,airway-management-operations,"Queens County, NY",05000US36081,queens-county-ny
39,Theology,3906,Theological & Ministerial Studies,390601,Theological Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,43,theological-studies,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,501,Area Studies,50108,Near & Middle Eastern Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,near-middle-eastern-studies,"Queens County, NY",05000US36081,queens-county-ny
52,Business,5213,Management Sciences & Quantitative Methods,521304,Actuarial Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,38,actuarial-science,"Queens County, NY",05000US36081,queens-county-ny
38,Philosophy and Religious Studies,3802,Religious Studies,380206,Judaic Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,judaic-studies,"Queens County, NY",05000US36081,queens-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500409,Graphic Design,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,82,graphic-design,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,501,Area Studies,50199,Other Area Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,other-area-studies,"Queens County, NY",05000US36081,queens-county-ny
38,Philosophy and Religious Studies,3802,Religious Studies,380201,Religious Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,religious-studies-6,"Queens County, NY",05000US36081,queens-county-ny
38,Philosophy and Religious Studies,3801,Philosophy,380101,Philosophy,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,27,philosophy-6,"Queens County, NY",05000US36081,queens-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500410,Illustration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,illustration,"Queens County, NY",05000US36081,queens-county-ny
31,"Parks, Recreation, & Leisure",3105,Health & Physical Education,310505,Kinesiology & Exercise Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,51,kinesiology-exercise-science,"Queens County, NY",05000US36081,queens-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50201,African-American & Black Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,african-american-black-studies,"Queens County, NY",05000US36081,queens-county-ny
31,"Parks, Recreation, & Leisure",3105,Health & Physical Education,310504,Sport & Fitness Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,100,sport-fitness-management,"Queens County, NY",05000US36081,queens-county-ny
50,Visual & Performing Arts,5005,Theater Arts & Stagecraft,500501,General Drama & Theater Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,21,general-drama-theater-arts,"Queens County, NY",05000US36081,queens-county-ny
