ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
45,Social Sciences,4502,Anthropology,450201,Anthropology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,7,anthropology-6,"Richmond County, NY",05000US36085,richmond-county-ny
54,History,5401,History,540101,General History,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,48,general-history,"Richmond County, NY",05000US36085,richmond-county-ny
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,american-us-studies,"Richmond County, NY",05000US36085,richmond-county-ny
5,Cultural & Gender Studies,501,Area Studies,50126,Italian Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,italian-studies,"Richmond County, NY",05000US36085,richmond-county-ny
52,Business,5202,"Business Administration, Management, & Operations",520201,General Business Administration & Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,76,general-business-administration-management,"Richmond County, NY",05000US36085,richmond-county-ny
52,Business,5201,General Business & Commerce,520101,General Business,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,153,general-business,"Richmond County, NY",05000US36085,richmond-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50201,African-American & Black Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,african-american-black-studies,"Richmond County, NY",05000US36085,richmond-county-ny
51,Health,5138,"Registered Nursing, Nursing Administration, & Nursing Research",513801,Registered Nursing,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,238,registered-nursing,"Richmond County, NY",05000US36085,richmond-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50207,Women's Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,2,womens-studies,"Richmond County, NY",05000US36085,richmond-county-ny
51,Health,5110,Medical Laboratory Research & Allied Professions,511005,Clinical Laboratory Technologist,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,clinical-laboratory-technologist,"Richmond County, NY",05000US36085,richmond-county-ny
