County,Year,State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employed_age16+_civilian,Employed_male,Financial_managers_male,Financial_specialists_male,Accountants_&_auditors_male,Computer_male,Software_devops_male,Database_&_system_male,Employed_female,Financial_managers_female,Financial_specialists_female,Accountants_&_auditors_female,Computer_female,Software_devops_female,Database_&_system_female,Information_age16+_total,Finance_and_insurance,Real_estate
005,2010,36,"Bronx County, New York",1386657.0,32.8,32568.0,16671.0,408584.0,29.46539771551292,382642.0,198289.0,626.0,2922.0,1528.0,3464.0,430.0,665.0,184353.0,1549.0,4344.0,3544.0,926.0,362.0,0.0,49090.0,45770.0,39340.0
047,2010,36,"Kings County, New York",2508340.0,34.2,42143.0,23218.0,571936.0,22.80137461428674,793298.0,417076.0,4226.0,10578.0,7706.0,14991.0,9372.0,1375.0,376222.0,3503.0,10787.0,7354.0,4383.0,2111.0,585.0,56023.0,60058.0,41348.0
061,2010,36,"New York County, New York",1586698.0,36.4,63832.0,56556.0,254289.0,16.026301161279587,604865.0,319625.0,7920.0,22505.0,10295.0,14842.0,7622.0,984.0,285240.0,3924.0,13964.0,7023.0,3815.0,1090.0,352.0,82014.0,125112.0,42421.0
081,2010,36,"Queens County, New York",2233841.0,37.3,53054.0,24530.0,332165.0,14.869679623572134,763128.0,431109.0,4915.0,12474.0,8278.0,12782.0,4185.0,1429.0,332019.0,3813.0,13008.0,9999.0,3256.0,1310.0,199.0,52500.0,61474.0,42878.0
085,2010,36,"Richmond County, New York",469363.0,38.7,70560.0,30122.0,54353.0,11.580162901634768,151120.0,87562.0,1358.0,2906.0,2064.0,3628.0,995.0,745.0,63558.0,943.0,1931.0,1726.0,1021.0,765.0,80.0,65619.0,66770.0,70510.0
005,2011,36,"Bronx County, New York",1392002.0,32.8,32058.0,16879.0,412139.0,29.60764424189046,375393.0,196145.0,1037.0,3036.0,1989.0,3083.0,994.0,809.0,179248.0,649.0,4054.0,2772.0,646.0,182.0,44.0,51105.0,47753.0,41363.0
047,2011,36,"Kings County, New York",2532645.0,34.2,42752.0,23577.0,592789.0,23.405925425790034,785394.0,410424.0,3758.0,12407.0,7540.0,17076.0,9963.0,2687.0,374970.0,3339.0,9384.0,6690.0,5266.0,2526.0,201.0,58461.0,66901.0,39610.0
061,2011,36,"New York County, New York",1601948.0,36.5,66299.0,59398.0,284572.0,17.764122181244336,605158.0,320621.0,10848.0,26440.0,9369.0,10377.0,4917.0,800.0,284537.0,3994.0,13585.0,7661.0,4919.0,1650.0,669.0,71553.0,133754.0,52790.0
081,2011,36,"Queens County, New York",2247848.0,37.4,53572.0,25088.0,351223.0,15.624855417270206,769707.0,439634.0,4310.0,12283.0,9346.0,17178.0,6753.0,1285.0,330073.0,4934.0,12396.0,9379.0,4813.0,2046.0,866.0,60613.0,58618.0,45048.0
085,2011,36,"Richmond County, New York",470467.0,38.6,70578.0,30274.0,54365.0,11.555539495862622,156402.0,89000.0,907.0,3572.0,2475.0,3287.0,1078.0,640.0,67402.0,821.0,1964.0,1705.0,935.0,596.0,0.0,71498.0,65113.0,56311.0
005,2012,36,"Bronx County, New York",1408473.0,33.0,32460.0,17603.0,426381.0,30.272571785188642,381145.0,201891.0,453.0,2559.0,1698.0,3285.0,1146.0,648.0,179254.0,1670.0,4782.0,4142.0,1205.0,313.0,61.0,47232.0,46263.0,37168.0
047,2012,36,"Kings County, New York",2565635.0,34.2,45230.0,24190.0,619707.0,24.154137279854694,811493.0,429221.0,3948.0,10900.0,7106.0,15452.0,9372.0,1307.0,382272.0,3461.0,11310.0,8056.0,5102.0,2676.0,637.0,61247.0,67130.0,42290.0
061,2012,36,"New York County, New York",1619090.0,36.5,67099.0,60290.0,279290.0,17.249813166655343,642187.0,337832.0,9972.0,25304.0,12736.0,14542.0,7959.0,934.0,304355.0,6403.0,13628.0,8516.0,6266.0,2491.0,384.0,81182.0,121952.0,60391.0
081,2012,36,"Queens County, New York",2272771.0,37.5,54713.0,25352.0,363869.0,16.009927968985878,794231.0,452499.0,4661.0,12352.0,8722.0,14532.0,6748.0,1029.0,341732.0,3399.0,12281.0,9642.0,4155.0,1310.0,259.0,62493.0,61281.0,45761.0
085,2012,36,"Richmond County, New York",470728.0,38.9,70963.0,29939.0,54028.0,11.47754117027243,154812.0,88871.0,887.0,2745.0,1815.0,3051.0,1115.0,911.0,65941.0,647.0,2989.0,2614.0,1382.0,746.0,82.0,71715.0,72199.0,50825.0
005,2013,36,"Bronx County, New York",1418733.0,33.3,33009.0,17907.0,425977.0,30.025170345653482,383329.0,201847.0,460.0,1974.0,1540.0,3241.0,728.0,503.0,181482.0,654.0,4596.0,2356.0,721.0,0.0,112.0,47418.0,51529.0,40117.0
